chart_id,track_id,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts
261,261,4,45,2,24
262,262,9,8,0,6
263,263,3,3,1,1
264,264,0,0,0,33
265,265,26,104,18,63
266,266,0,1,0,0
267,267,0,7,0,78
268,268,17,11,1,2
269,269,0,15,0,1
270,270,8,42,16,58
271,271,4,84,1,28
272,272,12,84,16,117
273,273,0,9,0,52
274,274,6,48,1,9
275,275,4,27,9,444
276,276,9,88,0,14
277,277,37,57,8,85
278,278,2,2,0,0
279,279,20,68,0,22
280,280,26,66,1,16
281,281,7,19,0,6
282,282,7,53,0,10
283,283,16,37,0,13
284,284,0,27,1,1
285,285,0,0,0,0
286,286,16,8,2,0
287,287,30,64,6,3
288,288,5,0,0,0
289,289,2,82,0,9
290,290,4,58,0,21
291,291,10,16,3,165
292,292,4,20,0,0
293,293,6,101,0,66
294,294,0,3,0,19
295,295,0,54,0,103
296,296,2,6,0,150
297,297,20,23,0,8
298,298,4,6,0,23
299,299,0,17,0,0
300,300,0,101,0,48
301,301,14,3,0,0
302,302,15,15,2,47
303,303,0,35,0,0
304,304,0,11,0,21
305,305,6,10,0,1
306,306,6,100,13,2
307,307,11,15,3,1
308,308,17,119,2,7
309,309,0,26,3,734
310,310,0,15,0,0
311,311,22,24,1,7
312,312,4,53,0,61
313,313,6,0,2,0
314,314,4,1,2,0
315,315,0,2,0,4
316,316,14,21,15,38
317,317,30,64,6,0
318,318,4,1,0,1
319,319,7,88,21,10
320,320,11,0,0,2
321,321,6,69,2,6
322,322,31,109,3,5
323,323,15,59,5,52
324,324,0,4,0,0
325,325,6,115,1,221
326,326,2,0,0,0
327,327,14,94,0,23
328,328,13,7,3,1
329,329,6,80,0,8
330,330,33,113,9,2
331,331,13,0,0,0
332,332,0,41,1,59
333,333,16,24,7,451
334,334,12,95,0,3
335,335,0,0,13,0
336,336,0,95,0,2
337,337,0,31,1,41
338,338,0,17,0,192
339,339,16,60,12,124
340,340,0,92,0,1
341,341,0,1,4,3
342,342,4,78,0,0
343,343,0,1,0,8
344,344,9,66,13,1
345,345,6,7,2,0
346,346,2,89,0,25
347,347,3,24,0,30
348,348,7,1,0,2
349,349,4,79,0,0
350,350,0,56,0,13
351,351,14,84,0,35
352,352,0,77,3,8
353,353,14,9,0,0
354,354,8,21,1,52
355,355,6,53,1,32
356,356,0,1,0,0
357,357,15,97,0,154
358,358,0,51,0,0
359,359,0,45,16,0
360,360,44,44,1,11
361,361,0,0,0,1
362,362,0,45,0,1
363,363,0,22,0,2
364,364,28,86,4,0
365,365,0,17,9,2
366,366,0,1,3,0
367,367,0,0,0,0
368,368,0,1,0,2
369,369,44,122,17,58
370,370,0,54,0,2
371,371,4,101,0,0
372,372,0,0,0,0
373,373,2,109,1,10
374,374,8,13,0,60
375,375,7,4,0,0
376,376,28,79,0,168
377,377,2,18,0,1
378,378,0,0,0,0
379,379,0,0,0,0
380,380,0,107,0,1
381,381,0,1,0,0
382,382,0,99,0,0
383,383,0,3,0,0
384,384,0,0,0,0
385,385,0,111,0,0
386,386,0,74,0,0
387,387,0,31,0,0
388,388,0,63,0,0
389,389,0,1,0,0
390,390,0,29,0,0
391,391,0,72,0,0
392,392,0,0,0,0
393,393,0,20,0,0
394,394,0,35,0,0
395,395,0,108,0,0
396,396,0,18,0,0
397,397,4,87,0,46
398,398,0,79,0,0
399,399,0,0,0,0
400,400,0,58,0,0
401,401,0,17,0,0
402,402,0,9,0,0
403,403,0,22,0,0
404,404,0,39,0,0
405,405,2,6,1,9
406,406,2,74,0,2
407,407,0,96,0,0
408,408,0,7,0,0
409,409,0,0,0,24
410,410,0,39,0,0
411,411,0,11,0,0
412,412,0,14,0,0
413,413,0,57,0,11
414,414,0,16,0,0
415,415,0,0,0,0
416,416,0,35,2,0
417,417,20,77,2,0
418,418,0,56,0,0
419,419,34,58,7,0
420,420,0,9,0,0
421,421,4,64,3,36
422,422,0,30,0,1
423,423,0,3,0,0
424,424,0,15,0,0
425,425,0,2,0,2
426,426,13,50,3,1
427,427,6,89,0,3
428,428,0,7,16,6
429,429,0,63,0,11
430,430,0,47,0,0
431,431,0,29,0,0
432,432,0,0,0,0
433,433,0,80,0,0
434,434,0,18,0,0
435,435,0,18,0,0
436,436,0,65,0,12
437,437,0,10,0,0
438,438,0,8,0,0
439,439,0,48,0,0
440,440,0,17,0,0
441,441,0,7,0,4
442,442,0,18,0,1
443,443,0,64,9,75
444,444,2,13,0,40
445,445,26,65,6,0
446,446,6,107,0,5
447,447,1,3,0,0
448,448,0,5,0,0
449,449,0,7,0,0
450,450,3,0,0,0
451,451,0,2,0,0
452,452,0,0,0,0
453,453,2,21,1,0
454,454,0,8,0,10
455,455,12,102,0,30
456,456,0,15,0,1
457,457,10,24,0,1
458,458,8,75,6,16
459,459,0,40,0,0
460,460,0,14,0,1
461,461,9,31,5,28
462,462,21,166,9,25
463,463,12,4,1,3
464,464,0,122,0,2
465,465,2,76,0,16
466,466,0,3,0,3
467,467,6,135,0,5
468,468,0,28,0,0
469,469,0,9,0,4
470,470,4,39,0,46
471,471,0,0,0,0
472,472,2,145,0,46
473,473,0,5,0,0
474,474,19,34,1,2
475,475,0,123,0,10
476,476,0,43,0,3
477,477,0,51,1,21
478,478,0,38,0,0
479,479,0,1,0,0
480,480,3,21,0,13
481,481,0,5,1,0
482,482,4,70,0,3
483,483,0,0,0,0
484,484,1,89,0,0
485,485,0,27,0,0
486,486,0,0,1,0
487,487,4,46,0,45
488,488,0,6,0,0
489,489,0,19,12,0
490,490,24,130,0,25
491,491,3,3,0,1
492,492,6,125,2,78
493,493,10,76,1,1
494,494,0,17,0,22
495,495,0,21,0,7
496,496,10,16,0,13
497,497,0,32,0,14
498,498,0,88,3,13
499,499,0,3,0,0
500,500,0,99,0,2
501,501,0,127,0,62
502,502,0,11,0,1
503,503,0,2,0,0
504,504,0,0,0,0
505,505,0,45,0,0
506,506,0,18,0,7
507,507,0,12,0,0
508,508,2,2,0,6
509,509,2,0,0,0
510,510,0,19,0,1
511,511,8,122,0,55
