playlist_id,track_id,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
294,294,1190,29,18
295,295,579,11,0
296,296,1553,61,48
297,297,2301,49,110
298,298,134,4,0
299,299,430,15,0
300,300,86,11,0
301,301,629,32,9
302,302,1701,30,34
303,303,329,14,1
304,304,1168,45,20
305,305,162,1,1
306,306,2536,59,58
307,307,387,11,14
308,308,892,20,12
309,309,3909,66,277
310,310,282,6,0
311,311,888,11,7
312,312,968,16,1
313,313,25065,63,6808
314,314,531,20,71
315,315,242,12,13
316,316,5281,94,80
317,317,2590,20,35
318,318,454,6,21
319,319,6180,122,580
320,320,3600,7,203
321,321,1254,26,73
322,322,6398,177,305
323,323,660,19,18
324,324,1283,57,48
325,325,8084,45,218
326,326,2332,0,25
327,327,685,24,9
328,328,2460,53,56
329,329,288,11,1
330,330,4572,74,85
331,331,6127,0,0
332,332,1838,105,114
333,333,2098,88,101
334,334,761,23,11
335,335,1225,27,28
336,336,3469,71,31
337,337,3311,129,212
338,338,2616,113,208
339,339,3006,47,87
340,340,4260,113,259
341,341,482,9,12
342,342,138,13,2
343,343,1368,12,11
344,344,4796,124,212
345,345,658,33,53
346,346,3009,68,65
347,347,17492,136,1959
348,348,6170,82,231
349,349,130,21,2
350,350,359,12,13
351,351,5491,128,75
352,352,27119,532,1535
353,353,1776,1,3
354,354,4057,78,240
355,355,3045,43,134
356,356,852,14,50
357,357,2163,72,58
358,358,1484,22,12
359,359,1703,38,36
360,360,4169,57,183
361,361,1054,9,15
362,362,2849,39,27
363,363,1602,12,12
364,364,9644,120,164
365,365,4827,104,76
366,366,21811,117,676
367,367,168,0,5
368,368,688,14,17
369,369,10565,238,557
370,370,1612,34,34
371,371,574,38,26
372,372,2499,70,49
373,373,10426,133,182
374,374,15894,198,544
375,375,713,2,6
376,376,7758,173,175
377,377,2537,8,20
378,378,323,4,14
379,379,12353,35,549
380,380,8879,182,160
381,381,6512,88,277
382,382,6596,144,251
383,383,3788,21,10
384,384,7655,5,291
385,385,9577,195,310
386,386,10114,114,262
387,387,1007,5,1
388,388,1127,16,8
389,389,10829,130,390
390,390,1042,7,3
391,391,11500,140,251
392,392,1685,1,29
393,393,1634,16,4
394,394,1087,90,5
395,395,10585,126,406
396,396,827,6,1
397,397,1420,13,17
398,398,11940,73,123
399,399,888,50,6
400,400,9122,121,212
401,401,892,3,2
402,402,989,5,1
403,403,819,14,0
404,404,6290,89,158
405,405,313,10,7
406,406,353,2,14
407,407,4094,66,43
408,408,880,3,10
409,409,573,1,18
410,410,3299,65,41
411,411,811,6,3
412,412,899,2,2
413,413,2415,33,30
414,414,2304,12,14
415,415,1003,21,44
416,416,2699,39,22
417,417,2482,27,22
418,418,2577,108,30
419,419,6821,83,128
420,420,714,0,2
